"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"141",2016-03-08,387,390.5,385.5,389,0.75,388.75,1651,33507
"142",2016-03-07,389,390.25,387.25,387.5,1.25,388,1413,33327
"143",2016-03-04,384.75,388.25,384.5,387,2.5,386.75,1204,33031
"144",2016-03-03,383.5,385.25,382.25,384.5,1,384.25,1576,33077
"145",2016-03-02,383,384.25,382,382.75,0.5,383.25,1234,32829
"146",2016-03-01,384.75,385.25,383,383.25,1.75,382.75,1259,32500
"147",2016-02-29,386.75,388.25,384.25,384.5,2.75,384.5,1562,32231
"148",2016-02-26,389,389.25,386,387.5,1.5,387.25,2889,32238
"149",2016-02-25,392.5,393.75,388.5,388.5,3.75,388.75,2836,32223
"150",2016-02-24,394.25,394.75,391.5,391.5,2,392.5,1069,32016
"151",2016-02-23,397.5,397.5,394,394.25,3.75,394.5,3645,31471
"152",2016-02-22,396.75,398.75,396.25,398.25,3.75,398.25,1477,31098
"153",2016-02-19,394.5,395.75,393.75,395,NA,394.5,2850,30857
"154",2016-02-18,397,398,394.75,395,2.75,394.5,1139,30890
"155",2016-02-17,393.75,397.5,393.5,397.25,2.75,397.25,2699,20733
"156",2016-02-16,391.25,394.75,391.25,393.75,3.5,394.5,1937,20561
"157",2016-02-12,392.25,393.5,391,391.25,1,391,913,20608
"158",2016-02-11,392,394.5,390.5,392.25,0.25,392,1718,20521
"159",2016-02-10,392.75,393,391,392.25,0.5,392.25,733,20372
"160",2016-02-09,393.5,395,392,392.75,1.75,392.75,1708,20429
"161",2016-02-08,397.75,398.5,393.5,394.25,3.5,394.5,912,20343
"162",2016-02-05,399.75,400.25,397.5,397.75,2,398,1080,20253
"163",2016-02-04,401.25,403.25,399.25,399,1.5,400,1150,20163
"164",2016-02-03,402,403.25,400.75,401.5,1.25,401.5,1319,19901
"165",2016-02-02,400.25,402.75,399,402.25,1.5,402.75,1580,20064
"166",2016-02-01,401,401.5,398,400.5,0.5,401.25,712,19949
"167",2016-01-29,396.75,402,396.75,401.5,5,401.75,726,19916
"168",2016-01-28,398.5,399.5,396.25,396.75,2.5,396.75,298,19861
"169",2016-01-27,399.75,401.75,398.5,399.25,1.25,399.25,502,19778
"170",2016-01-26,401,403,399,400.25,1.25,400.5,375,19631
"171",2016-01-25,400,402.25,397.5,401.5,0.75,401.75,1029,19264
"172",2016-01-22,397.5,402,397.5,400.25,2.75,401,669,19056
"173",2016-01-21,398.75,401.5,396.5,398,1.25,398.25,1056,18681
"174",2016-01-20,398,400.5,397,399.5,0.75,399.5,751,18485
"175",2016-01-19,394.5,400,394.5,398,4.5,398.75,1109,13652
"176",2016-01-15,390,394.75,389.5,394,3.25,394.25,593,13599
"177",2016-01-14,392,392.75,390.25,391.25,1.25,391,245,13604
"178",2016-01-13,390.75,394.25,390.75,392.25,NA,392.25,1169,10729
"179",2016-01-12,388,398,386,391.5,4,392.25,768,10595
"180",2016-01-11,390,390.5,386.5,387.75,4.5,388.25,1591,9784
"181",2016-01-08,388.25,393,388.25,392.25,4,392.75,693,9450
"182",2016-01-07,387.25,389.25,384.5,388.5,0.75,388.75,472,9380
"183",2016-01-06,388.25,389.25,385,388.25,0.5,388,396,9164
"184",2016-01-05,388.75,390,387.25,388,0.5,387.5,162,9102
"185",2016-01-04,392.5,392.5,386.5,387.5,6,387,505,8880
"186",2015-12-31,393,394,391.75,392.75,0.25,393,181,8799
"187",2015-12-30,396.5,397.25,392.75,393.5,3.25,393.25,114,8781
"188",2015-12-29,395.5,397,392,396.5,1,396.5,476,8672
"189",2015-12-28,398.25,399,395,395.75,3.25,395.5,263,8611
"190",2015-12-24,399.25,399.25,398,398.5,0.75,398.75,77,8561
"191",2015-12-23,400.75,401.75,399,399.25,0.75,399.5,627,8367
"192",2015-12-22,404.5,406.25,400.25,400.25,4.25,400.25,231,8105
"193",2015-12-21,404.25,408.5,403,405,1.75,404.5,285,8083
"194",2015-12-18,406,411,405.25,406.5,NA,406.25,723,8032
"195",2015-12-17,401.75,406.75,395.75,405.5,5,406.25,687,8007
"196",2015-12-16,406.5,407.25,400.5,401,6,401.25,861,7724
"197",2015-12-15,407.5,408.5,405.75,407.25,1,407.25,469,7611
"198",2015-12-14,404.25,409.25,404.25,408.75,3,408.25,289,7530
"199",2015-12-11,408.25,409,405,405.5,3.5,405.25,389,7443
"200",2015-12-10,406.25,410,404.25,408.75,3.75,408.75,421,7380
"201",2015-12-09,405,409.5,403,406,NA,405,385,7383
"202",2015-12-08,405,406.5,404.5,405,NA,405,332,7336
"203",2015-12-07,412,412,404.75,405,7.5,405,172,7345
"204",2015-12-04,408.25,412.25,408.25,412.25,3.5,412.5,900,7018
"205",2015-12-03,402.5,410,401.25,408,6,409,521,6918
"206",2015-12-02,405,405.25,401.75,402.25,2.5,403,1627,6681
"207",2015-12-01,405.25,405.75,402.75,405.75,1.5,405.5,494,6617
"208",2015-11-30,400,405.5,400,404,4.5,404,280,6507
"209",2015-11-27,402.5,402.5,399.25,399.75,4.75,399.5,282,6448
"210",2015-11-25,401,404.5,401,403.25,3.25,404.25,1030,6050
"211",2015-11-24,402.75,402.75,400,401,2.25,401,1133,5664
"212",2015-11-23,399.5,403.5,397.25,403.5,3.5,403.25,694,5472
"213",2015-11-20,399.25,401.75,399.25,400,0.75,399.75,691,5291
"214",2015-11-19,398.75,400.75,397.25,400.25,1.75,400.5,668,4990
"215",2015-11-18,400,400.25,396.25,398.5,0.25,398.75,727,4781
"216",2015-11-17,398,400,396,398.5,1,399,591,4728
"217",2015-11-16,397.5,400,396.75,397.5,1.5,398,1056,4577
"218",2015-11-13,399.5,400.75,397,397,3.75,396.5,152,4542
"219",2015-11-12,398.75,400.5,397,400,0.25,400.25,491,4466
"220",2015-11-11,401.25,401.75,398.75,399.75,0.25,400,594,4372
"221",2015-11-10,403.75,404.25,397.25,400,4.75,399.75,1241,3851
"222",2015-11-09,411,412,404.5,404.75,6.5,404.5,227,3830
"223",2015-11-06,412,412,408.25,410.5,0.75,411,498,3835
"224",2015-11-05,415,415,411.25,411.5,4,411.75,439,3682
"225",2015-11-04,414.25,417.75,412,417.25,0.5,415.75,282,3545
"226",2015-11-03,411.75,415.25,411.75,415.25,3.5,415.25,86,3519
"227",2015-11-02,416.25,416.25,412,412,6,411.75,154,3504
"228",2015-10-30,416,419,415.75,418,1.5,417.75,588,3579
"229",2015-10-29,413.5,416.25,413.5,416,4.5,416.25,43,3560
"230",2015-10-28,415.25,415.25,411.25,412,3.5,411.75,44,3546
"231",2015-10-27,416.75,420,415.25,416,2.25,415.25,84,3512
