"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"178",2014-12-30,430,430,424.5,NA,6,424.75,2862,42324
"179",2014-12-29,431.5,433.75,428.5,NA,1.5,430.75,2018,42131
"180",2014-12-26,426.75,432.75,424,NA,6.5,432.5,716,41954
"181",2014-12-24,430.5,432,424.25,NA,5,426.25,2213,41273
"182",2014-12-23,428.25,432.5,428.25,NA,2,431.25,3414,40690
"183",2014-12-22,428,431.5,426.5,NA,1,429.25,3774,39826
"184",2014-12-19,428,429.25,423.25,423.5,0.5,428.25,5879,38614
"185",2014-12-18,425,431,424.25,428,3.5,428.5,4680,37743
"186",2014-12-17,423,427.25,421,NA,1.5,425.25,5046,36683
"187",2014-12-16,425,429,422,422,1,424,7557,34964
"188",2014-12-15,424,429,422.5,426.5,0.5,425.5,6143,33845
"189",2014-12-12,416.5,426.75,416.5,424.5,7,424.75,11141,33521
"190",2014-12-11,413,419.75,412,NA,3,417.25,7135,31979
"191",2014-12-10,414.5,417.75,409,NA,1.5,413.75,4966,31043
"192",2014-12-09,409,416.25,407.5,411,5,415.5,3646,30046
"193",2014-12-08,414,418,408.75,NA,4,410,5572,29229
"194",2014-12-05,407.5,415,405.25,NA,5,414,5321,29359
"195",2014-12-04,401.75,410,400.75,NA,6,409,4205,29034
"196",2014-12-03,401.25,403,397.75,NA,1,402.5,4934,29316
"197",2014-12-02,410,411.25,401,NA,8,401.5,4368,28580
"198",2014-12-01,405,411.25,403.5,409,1,410,3055,28223
"199",2014-11-28,410.5,413.5,403.5,NA,3,409,1978,27970
"200",2014-11-26,409.5,413,408.75,NA,3.5,412.5,2571,27688
"201",2014-11-25,402.5,409.5,401.5,NA,6.5,408.75,3426,27516
"202",2014-11-24,407,408,401,NA,5,402.5,2279,27807
"203",2014-11-21,407,415.5,405.25,NA,1,407.5,3806,27878
"204",2014-11-20,398,409.25,398,NA,10.5,408.5,2129,27581
"205",2014-11-19,406.5,406.5,398.25,NA,9.5,398,1577,27398
"206",2014-11-18,412.75,413.25,406.5,NA,5.25,407.5,1904,27139
"207",2014-11-17,415.75,417,408.75,NA,3.25,412.75,2803,27086
