Thursday,Grain,Pounds,Destination,Field Office,FGIS Reg,MKT YR,Metric Ton,,Grain,(All),,,,,,,,,,,,,,Sum of Metric Ton,Column Labels,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,117919940,CHINA MAIN,LEAGUE CITY,WEST GULF,1415,53488,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,72751760,PERU,NEW ORLEANS,EAST GULF,1415,33000,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,972000,CHINA T,TOLEDO,EAST COAST,1415,441,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,378000,THAILAND,TOLEDO,EAST COAST,1415,171,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,702000,INDONESIA,TOLEDO,EAST COAST,1415,318,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,2160000,VIETNAM,TOLEDO,EAST COAST,1415,980,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,16720000,MEXICO,DIOO,INTERIOR,1415,7584,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,16940000,MEXICO,DIOO,INTERIOR,1415,7684,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,24200000,MEXICO,DIOO,INTERIOR,1415,10977,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,23100000,MEXICO,DIOO,INTERIOR,1415,10478,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,WHEAT,61923025,JAPAN,PORTLAND,WEST COAST,1415,28088,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,378000,VIETNAM,DIOO,INTERIOR,1415,171,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,270000,PHILIPPINES,DIOO,INTERIOR,1415,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,324000,CHINA T,DIOO,INTERIOR,1415,147,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,270000,CHINA T,DIOO,INTERIOR,1415,122,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,756000,CHINA T,DIOO,INTERIOR,1415,343,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,594000,CHINA T,DIOO,INTERIOR,1415,269,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,162000,CHINA T,DIOO,INTERIOR,1415,73,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,810000,CHINA T,DIOO,INTERIOR,1415,367,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,DIOO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,108000,VIETNAM,DIOO,INTERIOR,1415,49,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,216000,VIETNAM,DIOO,INTERIOR,1415,98,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,486000,CHINA T,DIOO,INTERIOR,1415,220,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,432000,INDONESIA,DIOO,INTERIOR,1415,196,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,756000,INDONESIA,DIOO,INTERIOR,1415,343,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,378000,INDONESIA,DIOO,INTERIOR,1415,171,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,594000,INDONESIA,DIOO,INTERIOR,1415,269,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1026000,THAILAND,DIOO,INTERIOR,1415,465,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,486000,THAILAND,DIOO,INTERIOR,1415,220,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,648000,THAILAND,DIOO,INTERIOR,1415,294,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,918000,CHINA T,DIOO,INTERIOR,1415,416,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,54000,CHINA T,DIOO,INTERIOR,1415,24,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,2160000,THAILAND,TOLEDO,EAST COAST,1415,980,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,324000,THAILAND,TOLEDO,INTERIOR,1415,147,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,756000,THAILAND,TOLEDO,INTERIOR,1415,343,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,36375900,MOROCCO,NEW ORLEANS,EAST GULF,1415,16500,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,112209320,CHINA MAIN,NEW ORLEANS,EAST GULF,1415,50897,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,WHEAT,18287157,CHINA T,PORTLAND,WEST COAST,1415,8295,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,INTERIOR,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,INDONESIA,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,CORN,36860340,MEXICO,NEW ORLEANS,EAST GULF,1415,16720,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,WHEAT,13508300,MEXICO,NEW ORLEANS,EAST GULF,1415,6127,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,1080000,CHINA T,TOLEDO,EAST COAST,1415,490,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,132487080,SPAIN,NEW ORLEANS,EAST GULF,1415,60095,,,,,,,,,,,,,,,,,,,,,,,,,,
20150108,SOYBEANS,810000,INDONESIA,TOLEDO,INTERIOR,1415,367,,,,,,,,,,,,,,,,,,,,,,,,,,
